Date,death,recovery,cases,tested,tested_positive
2020/2/4,0,1,15,#N/A,2
2020/2/5,0,4,16,4,2
2020/2/6,0,4,12,19,0
2020/2/7,0,6,12,9,0
2020/2/8,0,9,7,4,0
2020/2/9,0,9,7,10,0
2020/2/10,0,9,7,12,0
2020/2/11,0,10,6,4,0
2020/2/12,0,11,6,10,1
2020/2/13,0,11,6,16,4
2020/2/14,1,12,9,43,7
2020/2/15,1,12,24,86,12
2020/2/16,1,13,24,65,6
2020/2/17,1,12,24,113,7
2020/2/18,1,14,31,9,7
2020/2/19,1,16,35,71,10
2020/2/20,1,16,52,90,9
2020/2/21,1,16,62,85,11
2020/2/22,1,17,96,96,27
2020/2/23,1,17,108,39,12
2020/2/24,1,18,121,104,12
2020/2/25,1,23,125,44,8
2020/2/26,1,23,138,168,22
2020/2/27,3,30,161,151,24
2020/2/28,4,30,176,130,20
2020/2/29,5,31,188,178,9
2020/3/1,5,31,201,96,15
2020/3/2,6,32,212,71,14
2020/3/3,6,35,226,153,16
2020/3/4,6,37,258,3940,33
2020/3/5,6,38,271,699,31
2020/3/6,6,56,323,553,59
2020/3/7,6,63,366,147,47
2020/3/8,6,67,377,110,33
2020/3/9,7,88,400,1314,26
2020/3/10,9,89,437,424,54
2020/3/11,12,103,481,181,52
2020/3/12,15,108,520,1855,55
2020/3/13,19,120,548,859,40
2020/3/14,21,129,591,107,62
2020/3/15,22,142,603,42,33
2020/3/16,24,149,621,2083,15
2020/3/17,28,156,645,203,44
2020/3/18,29,176,659,#N/A,39
2020/3/19,31,200,681,3490,36
2020/3/20,33,212,723,119,53
2020/3/21,35,217,719,132,34
2020/3/22,36,257,743,56,42
2020/3/23,41,270,763,3862,38
2020/3/24,42,285,816,#N/A,65
2020/3/25,43,294,855,674,93
2020/3/26,45,343,920,1805,96
2020/3/27,46,356,948,1442,104
2020/3/28,49,388,1187,296,194
2020/3/29,52,408,1358,206,185
2020/3/30,54,408,1423,3481,74
2020/3/31,56,408,1594,1914,218
2020/4/1,57,456,1757,#N/A,224
2020/4/2,60,489,1980,4685,253
2020/4/3,63,498,2227,3305,337
2020/4/4,69,559,2553,271,370
2020/4/5,70,568,2921,218,386
2020/4/6,73,575,3132,7876,270
2020/4/7,80,605,3472,4544,377
2020/4/8,81,615,3914,1383,550
2020/4/9,85,668,4461,2841,572
2020/4/10,88,697,5063,5389,708
2020/4/11,94,745,5751,1644,676
2020/4/12,98,767,6239,57,571
2020/4/13,102,782,6564,9252,333
2020/4/14,109,836,6961,8255,511
2020/4/15,119,884,7388,693,511
2020/4/16,136,918,7884,5325,596
2020/4/17,148,995,8448,4149,575
2020/4/18,154,1052,8916,1004,590
2020/4/19,161,1142,9215,2953,372
2020/4/20,171,1222,9449,6816,365
2020/4/21,186,1339,9740,5542,374
2020/4/22,277,2023,10082,4415,450
2020/4/23,287,2391,10469,5349,445
2020/4/24,317,2519,10801,5187,451
2020/4/25,334,2645,11046,1250,374
2020/4/26,348,2798,11175,1136,221
2020/4/27,351,2888,11252,8545,189
2020/4/28,376,3170,11427,3244,284
2020/4/29,389,3357,11585,879,227
2020/4/30,415,3449,11424,8126,199
2020/5/1,432,3964,11558,6820,266
2020/5/2,458,4194,11724,880,302
2020/5/3,492,4368,11823,1012,204
2020/5/4,510,4479,11935,1332,177
2020/5/5,521,4570,11731,1569,120
2020/5/6,543,4901,11638,447,106
2020/5/7,551,5129,11286,13005,96
2020/5/8,600,8110,6302,10680,89
2020/5/9,613,8276,6250,2265,108
2020/5/10,621,8514,6074,3995,68
2020/5/11,643,8903,5914,5993,50
2020/5/12,668,9851,5162,288,80
2020/5/13,687,10321,4732,10074,54
2020/5/14,710,10792,4339,5866,100
2020/5/15,725,11136,4025,3092,52
2020/5/16,744,11398,3787,4337,57
2020/5/17,749,11547,3667,4987,30
2020/5/18,763,11867,3400,5980,30
2020/5/19,771,12269,3009,3221,31
2020/5/20,777,12655,2761,3669,38
2020/5/21,796,12988,2495,4580,43
2020/5/22,808,13227,2293,3495,31
2020/5/23,820,13396,2130,2769,29
2020/5/24,830,13446,2111,1252,40
2020/5/25,846,13643,1939,3620,20
2020/5/26,858,13806,1788,2994,27
2020/5/27,867,13979,1637,3004,37
2020/5/28,874,14085,1556,3981,61
2020/5/29,886,14237,1466,3501,64
2020/5/30,891,14290,1452,2652,46
2020/5/31,892,14333,1436,1657,32
2020/6/1,894,14481,1341,3789,36
2020/6/2,900,14602,1270,4526,51
2020/6/3,903,14690,1207,3979,26
2020/6/4,907,14795,1141,4600,45
2020/6/5,914,14901,1064,4939,41
2020/6/6,916,14961,1042,3220,45
2020/6/7,916,14970,1060,1725,32
2020/6/8,916,15035,1028,4516,22
2020/6/9,919,15120,965,4600,30
2020/6/10,920,15200,923,5092,36
2020/6/11,922,15308,854,4573,40
2020/6/12,924,15395,810,5145,57
2020/6/13,925,15451,801,2633,43
2020/6/14,925,15493,819,1451,62
2020/6/15,927,15508,871,4300,60
2020/6/16,931,15657,760,4462,42
2020/6/17,935,15737,712,1348,43
2020/6/18,935,15811,707,6176,68
2020/6/19,952,15880,677,4823,54
2020/6/20,953,15911,711,2474,65
2020/6/21,953,15936,732,4127,49
2020/6/22,955,16007,706,5376,40
2020/6/23,963,16058,698,3722,53
2020/6/24,967,16116,713,4979,89
2020/6/25,968,16188,727,4455,79
2020/6/26,970,16248,757,4758,99
2020/6/27,970,16301,790,3533,88
2020/6/28,971,16353,822,1513,111
2020/6/29,971,16424,869,5510,110
2020/6/30,973,16522,897,4651,132
2020/7/1,974,16563,1006,6564,125
2020/7/2,975,16654,1105,5460,194
2020/7/3,976,16747,1224,6597,249
2020/7/4,976,16838,1386,3134,268
2020/7/5,976,16912,1550,2618,195
2020/7/6,977,16981,1671,8228,172
2020/7/7,979,17115,1721,7099,208
2020/7/8,980,17250,1776,7725,203
2020/7/9,981,17436,1929,7700,352
2020/7/10,981,17633,2139,8955,420
2020/7/11,981,17787,2339,5362,373
2020/7/12,981,17887,2587,1838,391
2020/7/13,981,18066,2754,10552,248
2020/7/14,983,18312,2789,11154,327
2020/7/15,984,18580,2885,11343,440
2020/7/16,984,18862,3191,16683,619
2020/7/17,984,19132,3560,12994,588
2020/7/18,984,19342,3865,7166,655
2020/7/19,984,19523,4113,3262,501
2020/7/20,987,19921,4345,15959,407
2020/7/21,988,20403,4421,12114,618
2020/7/22,989,20787,4751,16357,792
2020/7/23,991,21080,5369,8310,966
2020/7/24,992,21319,5949,5695,766
2020/7/25,995,21514,6315,9530,798
2020/7/26,995,21868,6573,3785,830
2020/7/27,997,22560,6828,24182,581
2020/7/28,1000,23256,7063,18086,968
2020/7/29,1003,23928,7508,18669,1242
2020/7/30,1005,24678,8062,19687,1297
2020/7/31,1010,25253,8945,17354,1574
2020/8/1,1010,25653,9427,9606,1535
2020/8/2,1011,26234,10422,10599,1324
2020/8/3,1015,26944,10963,25794,937
2020/8/4,1021,27775,11665,18740,1234
2020/8/5,1025,28624,11910,39723,1350
2020/8/6,1032,29900,12159,22015,1479
2020/8/7,1038,31054,12539,22698,1595
2020/8/8,1039,32059,13011,13676,1523
