"","date","newCasesByPublishDate","cumCasesByPublishDate","newDeaths28DaysByPublishDate","cumDeaths28DaysByPublishDate","newTestsByPublishDate","cumTestsByPublishDate","newAdmissions","hospitalCases","covidOccupiedMVBeds"
"1","2020-01-03",0,NA,0,NA,NA,NA,NA,NA,NA
"2","2020-01-04",0,NA,0,NA,NA,NA,NA,NA,NA
"3","2020-01-05",0,NA,0,NA,NA,NA,NA,NA,NA
"4","2020-01-06",0,NA,0,NA,NA,NA,NA,NA,NA
"5","2020-01-07",0,NA,0,NA,NA,NA,NA,NA,NA
"6","2020-01-08",0,NA,0,NA,NA,NA,NA,NA,NA
"7","2020-01-09",0,NA,0,NA,NA,NA,NA,NA,NA
"8","2020-01-10",0,NA,0,NA,NA,NA,NA,NA,NA
"9","2020-01-11",0,NA,0,NA,NA,NA,NA,NA,NA
"10","2020-01-12",0,NA,0,NA,NA,NA,NA,NA,NA
"11","2020-01-13",0,NA,0,NA,NA,NA,NA,NA,NA
"12","2020-01-14",0,NA,0,NA,NA,NA,NA,NA,NA
"13","2020-01-15",0,NA,0,NA,NA,NA,NA,NA,NA
"14","2020-01-16",0,NA,0,NA,NA,NA,NA,NA,NA
"15","2020-01-17",0,NA,0,NA,NA,NA,NA,NA,NA
"16","2020-01-18",0,NA,0,NA,NA,NA,NA,NA,NA
"17","2020-01-19",0,NA,0,NA,NA,NA,NA,NA,NA
"18","2020-01-20",0,NA,0,NA,NA,NA,NA,NA,NA
"19","2020-01-21",0,NA,0,NA,NA,NA,NA,NA,NA
"20","2020-01-22",0,NA,0,NA,NA,NA,NA,NA,NA
"21","2020-01-23",0,NA,0,NA,NA,NA,NA,NA,NA
"22","2020-01-24",0,NA,0,NA,NA,NA,NA,NA,NA
"23","2020-01-25",0,NA,0,NA,NA,NA,NA,NA,NA
"24","2020-01-26",0,NA,0,NA,NA,NA,NA,NA,NA
"25","2020-01-27",0,NA,0,NA,NA,NA,NA,NA,NA
"26","2020-01-28",0,NA,0,NA,NA,NA,NA,NA,NA
"27","2020-01-29",0,NA,0,NA,NA,NA,NA,NA,NA
"28","2020-01-30",0,NA,0,NA,NA,NA,NA,NA,NA
"29","2020-01-31",2,2,0,NA,NA,NA,NA,NA,NA
"30","2020-02-01",0,2,0,NA,NA,NA,NA,NA,NA
"31","2020-02-02",0,2,0,NA,NA,NA,NA,NA,NA
"32","2020-02-03",0,2,0,NA,NA,NA,NA,NA,NA
"33","2020-02-04",0,2,0,NA,NA,NA,NA,NA,NA
"34","2020-02-05",0,2,0,NA,NA,NA,NA,NA,NA
"35","2020-02-06",1,3,0,NA,NA,NA,NA,NA,NA
"36","2020-02-07",0,3,0,NA,NA,NA,NA,NA,NA
"37","2020-02-08",0,3,0,NA,NA,NA,NA,NA,NA
"38","2020-02-09",1,4,0,NA,NA,NA,NA,NA,NA
"39","2020-02-10",4,8,0,NA,NA,NA,NA,NA,NA
"40","2020-02-11",0,8,0,NA,NA,NA,NA,NA,NA
"41","2020-02-12",0,8,0,NA,NA,NA,NA,NA,NA
"42","2020-02-13",1,9,0,NA,NA,NA,NA,NA,NA
"43","2020-02-14",0,9,0,NA,NA,NA,NA,NA,NA
"44","2020-02-15",0,9,0,NA,NA,NA,NA,NA,NA
"45","2020-02-16",0,9,0,NA,NA,NA,NA,NA,NA
"46","2020-02-17",0,9,0,NA,NA,NA,NA,NA,NA
"47","2020-02-18",0,9,0,NA,NA,NA,NA,NA,NA
"48","2020-02-19",0,9,0,NA,NA,NA,NA,NA,NA
